"","Duration (in seconds)","I enjoy thinking about work even when I’m not at work.","Most days, I feel happiest when the workday is soon to be complete.","I am happiest when I am immersed in a project.","I love starting my workday.","I enjoy spending time completing my job tasks.","Most days I feel enthusiastic about starting my work day.","I feel motivated to go beyond what is asked of me.","This job drains my energy.","I am proud to be a member of this organization.","I feel supported by my supervisor when I fail at a task.","I feel proud of my accomplishments within this organization.","My job makes me feel like I’m part of something meaningful.","I devote more time than is expected of me.","I have to be reminded to take breaks while I’m at work.","I never miss a work deadline.","I never allow distractions to interfere with my work.","When work is slow I find ways to be productive.","I express enthusiasm for my job while at work.","I try my best to perform well at work.","If I notice my energy level is low, I take corrective steps to re-energize.","I make valued contributions to the organization.","I embrace challenging situations at work.","I speak positively about this organization to others.","This organization provides the resources necessary for me to successfully perform my job.","I devote my full attention to my work tasks throughout the day.","Thinking about work saps my energy.","I would rather direct my focus toward a work task than a personal task.","I’m able to maintain good levels of energy throughout the workday.","I plan my future with this company.","I believe this company cares about my career goals.","I often think about finding another job.","This organization challenges me to work at my full potential.","I’m able to concentrate on my work without distractions.","I have a hard time detaching mentally from my work.","Time passes quickly while I’m working.","I find it difficult to mentally disconnect from work.","What is the title of the job you were thinking about while responding to this survey?","How many hours do you typically work per week in this job?","How long have you been with this organization?","Any general comments or reactions you'd care to share with the scale development team?","Condition"
"8","260","3","4","5","3","5","5","5","3","6","5","5","5","5","5","6","4","5","5","6","3","5","5","4","6","4","2","5","3","4","6","2","5","4","4","4","4","Professional development associate ","55","6 months ",NA,1
"13","437","4","5","4","3","5","4","5","4","5","4","5","5","5","5","3","2","4","5","5","4","5","5","5","4","4","4","3","4","5","5","4","5","4","5","5","5","VP of Business Intelligence","60","7 years","I would answer differently if it wasn't wfh during covid",1
"17","301","3","4","5","4","5","5","5","3","5","5","6","5","6","3","6","2","6","5","6","5","6","6","5","6","5","2","1","5","5","6","2","6","6","3","5","3","Senior Analyst","45","2.5 years",NA,1
"23","231","1","4","4","2","4","4","4","5","3","4","4","3","2","2","5","3","3","4","5","5","4","4","3","5","4","4","4","5","1","2","5","4","5","2","5","2","Front end associate","25-30","6 months",NA,1
"25","441","2","6","4","2","3","3","1","6","3","5","4","1","5","1","2","1","3","1","5","5","4","3","4","5","1","5","1","2","1","2","6","3","2","4","3","4","Data Analyst","45+ ","10 months",NA,1
"30","434","5","2","5","3","5","3","5","4","4","5","5","2","3","2","5","1","5","4","5","4","5","5","5","6","3","3","2","3","5","5","5","5","2","2","5","2","Director of Learning Measurement & Analytics","50","14","reverse scored items are a pain to answer, I know it's good psychometrically, but in the business world I never use them because people mess them up and it makes data analysis harder than it has to be. ",1
"33","531","4","4","5","3","5","4","5","4","6","5","6","6","4","4","5","5","4","6","6","3","6","5","6","5","2","4","4","5","6","6","2","5","3","4","5","4","Sr. Program Manager","45-50","3 years","The environment changed from in the office to working from home due to COVID, but my answers are the same in either case.",1
"36","307","1","6","5","2","3","2","5","6","2","5","5","4","6","4","5","2","3","4","5","3","6","6","1","5","5","6","2","2","4","1","5","2","3","6","4","6","Technical Support Specialist","40","3 years",NA,1
"37","4287","4","3","3","4","5","4","5","2","6","6","6","6","2","2","5","2","5","5","5","4","5","6","5","5","3","4","3","2","5","4","4","5","4","4","5","4","Organization Development Consultant","40","5","IMO, challenges of wfh, generalized anxiety around COVID, and racial unrest, are going to impact burnout, engagement, etc., even if someone typically feels engaged and committed to their job. Might result in some funky responses to various items.",1
"47","285","1","6","5","2","4","2","6","5","4","6","5","4","6","5","4","2","4","4","6","4","5","5","4","5","5","6","3","2","2","4","6","6","2","6","5","6","Survey Specialist","45","2 years","No",1
"51","2043","4","3","6","6","5","6","6","3","6","6","6","6","6","3","4","3","6","6","6","5","6","6","6","6","5","1","3","6","6","6","1","6","4","3","6","3","Account Executive ","50","2 years",NA,1
"52","372","4","4","5","4","4","5","4","2","6","6","6","5","6","3","5","3","5","5","5","5","6","5","5","6","3","2","2","5","5","5","1","6","5","4","5","4","Vice President","40-50","12 years","Johno is a horrible trombone player",1
"55","274","2","4","6","4","5","5","6","6","6","6","6","6","5","4","5","6","4","5","6","5","6","6","6","6","6","3","2","5","6","6","1","6","6","2","5","2","Vocational Rehabilitation Counselor","40","3+ years","This job is incredibly draining, but worthwhile, I would consider draining a negative, it will always be a part of counseling people in challenging situations",1
"57","472","1","5","4","2","4","2","4","4","4","4","5","5","3","5","6","3","3","5","5","5","5","3","6","5","5","5","3","5","5","4","4","5","5","3","5","3","Business specialist","35","1.5 years",NA,1
"61","274","4","4","5","3","5","3","5","2","5","5","5","5","5","4","5","4","5","5","5","3","5","5","5","5","4","2","2","5","5","5","2","5","4","3","5","3","CFO","45","5 years",NA,1
"65","220","2","6","5","5","6","4","6","2","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","5","5","2","5","6","6","2","6","6","4","4","4","Research Assistant","35-40 hrs","A bit over a year",NA,1
"67","392","5","4","5","3","5","5","6","3","5","4","6","5","4","5","5","3","4","5","5","5","6","5","5","5","3","2","4","3","4","4","3","3","4","6","4","6","Senior Analyst","45","5 years","My immediate team members are generally kind, generous and supportive with each other, which helps my manage frustrations with other parts of the organization.",1
"77","202","5","5","6","4","5","5","4","5","5","5","5","5","3","4","4","2","3","5","5","4","6","5","6","4","3","3",NA,"4","5","3","3","4","3","4","4","4","Analyst","40","1 year",NA,1
"80","312","2","5","5","3","4","3","5","4","6","2","5","4","5","4","5","3","6","4","5","5","4","5","5","4","3","4","3","3","4","5","5","5","2","5","4","4","HR Talent Planning and Assessment Analyst","45","3 years",NA,1
"84","339","5","2","5","4","5","5","6","4","5","5","6","6","6","2","4","2","5","4","5","2","5","5","6","5","3","1","4","5","4","4","1","4","5","5","6","6","College Professor","50-60","20 years",NA,1
"90","194","2","5","5","4","5","5","5","4","5","5","5","4","2","5","5","4","3","5","5","4","4","5","5","5","5","4","3","5","4","4","4","5","5","2","4","2","Tax accountant","45","1.5 years",NA,1
"97","980","2","3","5","3","4","4","5","2","5","4","5","4","5","4","2","2","5","5","6","4","5","6","5","5","3","2","2","4","4","3","4","4","2","2","5","2",NA,NA,NA,NA,1
"100","388","4","6","4","1","5","1","1","6","5","4","5","5","2","2","3","2","5","5","5","3","5","4","4","3","3","6","1","2","2","2","5","4","3","1","1","2","High school teacher","45","8 years",":)",1
"103","407","2","5","4","5","5","4","4","3","5","4","5","5","5","2","2","4","3","3","5","3","5","4","5","4","4","4","2","3","5","5","2","4","5","2","5","2","Funeral Home Represenative","40","2 years","The 2 questions that followed each other about mentally detaching from work seemed repetitive. It seemed to be asking the same question.",1
"105","151","2","6","4","2","3","2","2","2","4","5","2","2","3","2","5","2","3","2","5","4","4","4","5","5","4","2","4","4","2","2","5","2","3","1","2","1","Teaching Assistant ","it varies ","just this semester ","sorry, some of these questions weren't really applicable to my job! ",1
"110","1069","1","6","4","1","4","1","2","5","4","2","5","3","2","2","5","2","5","4","5","3","5","5","2","4","2","6","2","3","1","2","6","3","2","1","2","1","Sr hr secretary","50","4 years ","None",1
"111","332","1","6","5","1","1","1","6","4","1","6","4","1","2","2","6","2","6","6","6","5","4","6","4","4","3","6","1","4","1","2","5","1","2","5","1","6","Customer Service","40","2 years",NA,1
"115","296","3",NA,NA,"5","4","4","3","4","5","1","4","5","4",NA,NA,"3",NA,"5","5","1","5","3","5","6","5","3","5","4","1","4","1","5","4","5","4","5","Teaching Assistant ","30","4 years",NA,1
"120","480","2","4","5","4","5","5","6","4","6","6","6","6","5","5","3","3","5","5","6","5","6","5","5","5","3","4","2","3","5","5","2","5","2","5","5","5","Contract Specialist","40","1 year 1 month","I’m working from home due to covid with 3 school aged kids. Some of my answers are influenced by my current work environment. Also, my husband is active duty military and I answered questions the best I could regarding longevity. That is a privilege I gave up marrying into the military.",1
"125","256","5","4","4","5","6","5","6","4","6","6","6","6","5","6","2","3","5","5","6","5","6","6","6","6","3","2","3","4","6","6","1","6","4","4","5","3","Academic director","40-60","5 years",NA,1
"130","378","3","5","5","4","5","5","4","4","4","4","5","4","5","4","5","4","5","5","5","5","5","5","5","4","5","4","5","4","3","3","4","4","4","3","5","3","SALES","44","15YEARS",NA,1
"135","246","3","4","4","3","3","3","3","5","5","3","5","4","5","4","5","4","4","4","5","4","5","5","4","5","5","4","2","5","4","2","4","5","5","5","4","5","HRBP","45-50","3.5","Seems highly sensitive to COVID and working from home restrictions",1
"138","340","2","4","5","1","5","1","6","6","5","2","2","2","5","6","5","2","5","4","5","2","2","5","5","3","4","5","3","3","3","1","6","1","3","5","3","4","HR Systems Analyst III (AKA Learning Systems Administrator)","at least 40","20 years","While I'm dissatisfied in my current role, the overall organization is good to work for.",1
"141","260","5","5","5","5","5","5","5","2","6","6","6","6","6","2","6","3","5","5","6","5","6","6","6","6","2","4","5","5","6","6","1","6",NA,"2","5","2","Clinical psychologist ","40","15 years",NA,1
"144","336","3","6","4","3","4","2","4","2","6","4","5","6","4","2","4","2","5","4","5","5","5","4","5","5","1","1","3","6","3","6","3","5","2","3","5","3","Field Manager","40","8 months",NA,1
"148","368","4","5","5","3","5","4","6","6","5","2","6","5","4","3","5","3","5","5","6","4","6","6","5","4","5","4","4","2","2","2","4","2","5","2","5","2","Director hospice admissions ","45","2 years ",NA,1
"151","285","3","5","5","4","5","4","5","3","5","6","4","5","6","5","5","5","6","5","6","5","5","6","5","5","5","4","5","5","4","3","3","4","4","6","5","6","Buyer","45","12.5 years ","Oftentimes it’s what you make of the job that makes things work ",1
"158","198","1","6","5","1","5","1","5",NA,"4","3","1","1","5","5","6","4","5","5","6","5","5","6","5","5","5","5","1","3","4","1","5","3","5","2","3","4","Service Delivery Advisor","20","15 years","No",1
"167","443","1","6","4","3","3","2","4","4","1","4","6","4","3","4","2","1","3","5","4","4","6","6","2","5","1","4","4","2","2","1","6","2","1","2","2","2","Director of Analytics ","40","7 years ","While I like what I do and the relationships I’ve built at my job, the organization often does not do right by its employees. It will be a stain on my resume when I finally leave. ",1
"175","286","2","5","6","2","3","2","2","6","3","3","4","2","4","3","6","5","2","4","6","4","5","4","5","5","5","5","5","2","5","4","6","1","5","2","2","2","Admissions Counselor","20","1.5 years",NA,1
"180","381","5","4","6","5","5","6","6","2","6",NA,"6","6","5","4","3","2","5","6","6","4","6","6","6","6","4","2","5","4","6","6","1","6","4","4","5","4","Consultant/Coach","50","5 years","I'm actually self-employedand have my own practice",1
"183","355","3","3","5","4","5","5","4","2","4","1","5","4","4","3","5","5","4","4","5","5","5","4","5","2","6","4","2","5","5","3","4","4","5","2","5","2","Export manager","9","7 years",NA,1
"187","408","3","3","5","4","5","5","5","3","5","5","5","5","5","3","4","3","5","4","6","4","5","6","5","5","5","2","2","5","5","6","3","5","3","5","5","4","Data Analyst","50","3.5 years ","NA option may be appropriate in a few places. ",1
"190","209","2","4","4","3","5","3","5","2","5","4","5","5","4","3","5","2","6","5","5","5","5","4","5","5","4","2","4","5","5","6","2","4","2","2","4","2","Senior Digital Advertising Copywriter","40","3 months",NA,1
"197","343","3","5","4","5","4","5","5","5","5","3","6","6","4","3","4","2","6","5","6","6","5","5","6","5","5","4","2","4","5","5","3","5","2","2","6","2","Montclair university ","40","4 semesters ",NA,1
"201","297","2","5","5","3","4","3","5","6","4","4","6","4","6","6","6","5","6","5","6","6","6","6","5","2","6","6","4","5","3","3","4","5","6","6","6","6","School Supervisor ","55","15 years",NA,1
"202","447","1","4","6","5","5","4","5","2","5","5","5","5","6","4","5","4","5","5","6","5","6","6","5","6","5","3","2","5","4","6","4","6","5","4","6","2","Salesforce administrator ","50","<1 year",NA,1
"208","325","4","4","6","3","5","5","6","4","1","5","6","5","6","6","5","3","1","6","6","5","6","6","1","4","5","4","4","5","1","1","6","1","2","2","2","2","Doctor","80","2 years",NA,1
"211","243","3","4","4","2","4","4","3","2","5","6","5","6","2","3","5","4","3","6","5","3","5","5","5","5","3","2","4","3","4","4","2","5","4","3","4","2","Hospital tech support technician","42","3 years",NA,1
"214","380","2","5","4","3","5","4","4","3","3","5","5","4","5","4","5","2","5","5","6","5","4","4","4","5","4","4","2","4","5","4","2","4","4","1","5","2","Price Analyst","40-45","38 years","Retired now for 4 years. ",1
"217","253","6","4","6","6","6","6","6","1","6","6","6","6","6","2","5","2","6","6","6","3","6","6","6","6","6","2","5","4","6","6","1","6","5","2","6","2","Human Resources NCO","40","9 years","NA",1
"232","258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","5","4",NA,NA,NA,NA,"4","6","3","1","2","4","4","4","6","5","4","5",NA,NA,NA,NA,1
"244","166","1","4","3","1","3","3","3","4","4","2","4","4","6","5","3","1","4","4","4","3","4","4","4","2","4","3","3","3","4","3","5","3","2","6","5","6","Analyst","45","2 years",NA,1
"255","256","5","2","6","5","6","5","5","1","6","5","5","5","4","2","6","6","5","6","5","6","5","5","6","6","5","1","3","5","6","6","1","4","6","1","5","2","Finance Project Manager","40","1 year",NA,1
"257","183","5","2","6","5","6","5","6","4","6","3","6","6","6","6","5","2","5","5","6","3","6","5","5","5","5","4","6","3","6","5","2","5","2","6","6","5",NA,NA,NA,NA,1
"258","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","3","6","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"278","233","3","6","6","3","6","3","5","4","5","4","6","6","2","5","6","6","3","6","4","1","6","6","6","4","4","6","6","3","1","4","4","4","6","6","6","6","Athletic coach","6-9","A year",NA,1
"282","348","2","5","2","2","4","2","4","5","3","2","2","5","4","2","5","5","5","5","6","5","5","4","4","4","5","2","3","4","1","1","6","2","5","2","4","2","Teacher’s Assistant","34-38","2.5 months",NA,1
"4","303","2","5","5","3","4","2","3","4","4",NA,"3","4","4","2","1","2","4","2","3","2","4","5","2","3","2","4","4","2","1","3","5","4","3","4","4","5","professor","50","1.5 years",NA,2
"7","230","4","5","2","4","4","2","5","5","5","5","6","5","6","2","6","6","6","5","6","3","5","6","5","5","5","3","2","5","2","4","4","4","5","5","5","5","psychology extern","10-16","3 years",NA,2
"11","170","1","6","5","3","4","2","5","6","5","5","5","4","4","3","6","5","4","4","5","3","5","4","6","5","4","5","3","4","2","3","6","4","5","4","5","4","Store Manager ","30-40","3 years",NA,2
"16","207","1","5","4","4","5","4","6","2","6","6","6","6","6","5","5","4","6","5","6","5","6","6","6","6","5","2","3","6","6","6","1","6","5","4","5","4","Talent acquisition manager","40/50","2 years",NA,2
"18","323","2","6","3","3","2","2","2","4","5","6","5","4","3","2","3","2","1","4","4","1","4","5","4","6","1","5","1","3","2","2","6","2","1","3","5","2","Management Consultant","45","1.5 years","I am proud of my job because of others’ perceptions of it - not because I enjoy the actual work I do.",2
"20","289","2","5","2","4","4","4","2","4","5","3","6","5","6","4","5","5","5","5","6","3","5","4","6","6","5","3","4","5","1","2","2","5","5","4","4","4","Barista","25","3 months",NA,2
"26","215","4","3","6","5","5","5","6","2","5","6","6","4","5","4","3","2","4","5","6","5","6","5","5","4","5","2","5","5","3","5","5","6","4","6","6","6","Senior Analyst","30","Over a year","There were two questions back-to-back that seemed redundant. I think it was asking about mentally being drained from work...I think. ",2
"29","226","2","4","4","3","4","3","3","4","5","5","4","4","3","2","4","3","3","4","5","4","5","4","4","4","2","4","2","3","4","4","4","3","3","3","4","3","UX designer","40","1 year",NA,2
"39","684","3","6","5","5","3","5","2","3","4","6","4","5","5","4","5","6","4","3","6",NA,"4","6","5","5","6","5","4","5","5","6","4","5","4","4","5","3",NA,NA,NA,NA,2
"42","357","3","5","5","5","6","5","5","2","5","4","6","6","5","4","5","4","5","6","6","5","6","6","5","3","6","2","2","6","5","4","3","5","4","3","6","1","Operations Manager","50-60","3 years",NA,2
"44","425","4","5","5","5","5","4","3","5","4","2","3","5","3","5","5","4","5","3","6","5","5","5","4","4","5","3","2","3","5","3","4","5","4","3","5","3","Pharmacist ","20","18",NA,2
"45","290","1","4","4","3","4","3","3","3","2","6","4","3","3","1","6","2","3","4","4","4","5","4","4","5","2","4","3","2","2","3","6","3","2","2","2","1","Research Analyst","40","3 years",NA,2
"50","248","4","3","6","4","5","4","3","5","4","3","4","4","5","4","5","3","4","4","5","3","4","4","4","4","4","3","4","5","3","3","4","3","5","3","6","3","Accountant","32","1 year",NA,2
"56","341","1","5","4","2","3","2","5","4","5","4","5","6","6","5","3","2","3","5","6","3","5","5","5","5","4","5","2","2","5","3","4","4","1","5","2","5","Health program manager","45","5 years","The responses are affected by the current pandemic situation. The demands of home vs healthcare work life are pinwheeling. ",2
"58","355","2","3","5","4","5","4","5","5","4","5","5","5","5","1","5","3","5","5","6","4","5","5","3","3","5","3","5","4","4","4","4","5","4","2","5","2","Teacher","40","10 years",NA,2
"62","1701","2","5","4","2","3","2","2","3","4","5","3","2","2","2","5","2","1","3","5","2","5","5","5","5","2","3","2","3","1","4","4","2","1","2","4","2","Administrative Assistant","16","No longer with the organization, was there for a year and a half.",NA,2
