"","Duration (in seconds)","I enjoy thinking about work even when I’m not at work.","Most days, I feel happiest when the workday is soon to be complete.","I am happiest when I am immersed in a project.","I love starting my workday.","I enjoy spending time completing my job tasks.","Most days I feel enthusiastic about starting my work day.","I feel motivated to go beyond what is asked of me.","This job drains my energy.","I am proud to be a member of this organization.","I feel supported by my supervisor when I fail at a task.","I feel proud of my accomplishments within this organization.","My job makes me feel like I’m part of something meaningful.","I devote more time than is expected of me.","I have to be reminded to take breaks while I’m at work.","I never miss a work deadline.","I never allow distractions to interfere with my work.","When work is slow I find ways to be productive.","I express enthusiasm for my job while at work.","I try my best to perform well at work.","If I notice my energy level is low, I take corrective steps to re-energize.","I make valued contributions to the organization.","I embrace challenging situations at work.","I speak positively about this organization to others.","This organization provides the resources necessary for me to successfully perform my job.","I devote my full attention to my work tasks throughout the day.","Thinking about work saps my energy.","I would rather direct my focus toward a work task than a personal task.","I’m able to maintain good levels of energy throughout the workday.","I plan my future with this company.","I believe this company cares about my career goals.","I often think about finding another job.","This organization challenges me to work at my full potential.","I’m able to concentrate on my work without distractions.","I have a hard time detaching mentally from my work.","Time passes quickly while I’m working.","I find it difficult to mentally disconnect from work.","What is the title of the job you were thinking about while responding to this survey?","How many hours do you typically work per week in this job?","How long have you been with this organization?","Any general comments or reactions you'd care to share with the scale development team?","Condition"
"178","395","4","5","4","1","4","1","4","6","2","2","4","2","3","4","2","2","6","5","5","4","4","3","4","4","4","6","1","1","3","1","6","3","1","4","4","4","Associate professor ","45","22 years","No",3
"182","248","4","4","4","3","4","4","4","2","5","4","4","6","3","2","4","1","2","5","5","3","5","5","5","4","4","3","2","3","4","4","2","3","3","4","5","4","Primary School Teacher","45","1 year",NA,3
"186","405","5","4","6","5","6","6","6","2","6","4","5","6","6","5","6","4","6","6","6","5","6","6","6","6","5","2","4","5","6","5","1","6","4","4","5","4","President ","60-80","31 years","Ask more self satisfaction questions.",3
"193","866","4","3","5","5","5","5","4","4","6","5","5","5","6","4","4","4","5","6","6","3","6","5","6","4","6","6","6","4","5","3","1","5","3","4","6","3","Management position","50-60","41 yrs","Give your employer 100% daily and enjoy what do.....",3
"196","280","2","5","4","2","4","2","4","4","4","5","4","4","4","1","4","3","2","5","4","5","5","4","5","4","4","3","1","5","4","5","5","2","4","2","4","2","Food service manager","15","16 years","It’s my family’s business ",3
"198","360","1","5","5","3","4","2","2","5","2","2","4","2","5","5","2","5","4","2","2","2","4","2","2","5","5","2","2","2","1","1","5","2","2","2","4","2","Instacart Shopper","30","Few months",NA,3
"204","546","4","4","5","3","5","4","5","2","5","5","5","5","6","6","2","4","6","5","6","3","5","6","5","4","6","4","6","5","6","4","4","5","3","6","5","5","Business Analyst ","Between 40 and 60 hours per week","35+ years ",NA,3
"207","437","6","4","5","3","5","4","5","2","6","6","5","6","4","5","5","2","4","6","6","5","5","5","6","5","5","2","3","5","4","5","4","5","5","2","6","2","Post processor","40","6 months","Well done!",3
"209","864","1","6","3","1","3","2","3","6","3","5","4","3","5","2","5","3","3","4","4","3","6","4","4","2","5","5","2","2","3","1","5","4","2","4","4","4","Teacher","40-50","4 yeads",NA,3
"216","211","2","5","2","1","2","1","2","6","1","1","5","1","5","5","5","2","2","2","5","4","5","5","2","2","2","6","2","2","1","1","6","2","2","5","1","5","Clinical coordinator","40","2.5 years",NA,3
"220","398","2","5","4","5","4","4","3","3","4","4","4","3","3","2","5","3","4","3","5","5","4","4","4","4","4","2","4","3","3","5","5","4","3","5","3","2","Hair Styling",NA,"30 yrs, different location's ","Good luck ",3
"231","269","4","3","2","4","4","4","3","2","2","1","5","1","5","2","6","2","5","4","6","2","4","5","3","5","3","2","1","5","1","1","6","4","3","5","4","5","Media Relations Director ","45","2 years",NA,3
"241","101",NA,NA,NA,NA,NA,NA,NA,NA,"3","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,"5","6","3","3",NA,NA,NA,NA,"5","3","3","4",NA,NA,NA,NA,NA,NA,NA,NA,3
"253","565","4","5","5","5","5","5","6","4","5","6","5","5","4","6",NA,"4","6","5","6","5","4","5","5","5","5","3","4","5","4","4","3","5","4","2","5","3","RN","40","4 years","No",3
"260","218","3","5","5","2","4","4","5","5","4","3","2","4","5","6","5","5","5","5","5","5","5","4","3","4","5","4","2","4","3","2","6","4","4","4","5","4","Store Manager ","40","2 years",NA,3
"264","490","5","2","5","5","5","5","5","4","6","4","5","5","5","3","3","2","5","5","5","5","5","4","6","4","4","2","6","5","5","4","4","5","2","5","6","6",NA,NA,NA,NA,3
"276","191","1","6","3","3","5","5","6","4",NA,NA,NA,NA,"6","5","2","6","4","6","6","5",NA,NA,NA,NA,"4","5","5","5",NA,NA,NA,NA,"3","4","4","2","Server ","25-30","3 years ",NA,3
"6","112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,4
"9","240","4","5","5","5","5","4","5","2","5","6","5","5","6","6","5","3","5","5","6","3","5","5","6","5","4","4","3","4","5","6","2","4","3","5","4","5","Associate ","48","2 years ","I took this with perspective from my current job which has half taken place during a pandemic and working from home. That being said, normally I wouldn’t have responded that I had so many distractions but working from home is full of distractions and unusual circumstances. ",4
"12","264","4","5","4","4","4","3","4","5","3","5","3","4","6","5","2","2","4","4","4","4","4","5","3","3","4","4","3","4","4","5","4","6","2","4","5","5","Senior Consultant","60hr","3years",NA,4
"14","179","1","6","4","1","3","1","2","5","2","3","4","2","5","2","5","3","1","2","4","3","6","4","1","4","2","6","1","2","2","1","6","3","3","4","1","5","HR Specialist","45","4 years",NA,4
"19","1249","4","5","4","5","4","5","4","4","5","1","5","5","5","6","6","4","5","6","6","6","5","5","6","5","6","4","3","5","5","3","2","6","6","6","5","6","Legal Secretary","35","27",NA,4
"27","7247","2","6","6","5","5","5","5","4","5","4","5","5","5","6","6","5","5","6","6","6","5","6","6","3","5","2","3","6",NA,"2","4","5","5","2","5","2","Graduate Tutor","15","1.5 years",NA,4
"28","384","2","5","5","4","5","4","6","2","5","5","5","5","4","4","4","4","5","5","5","5","5","5","6","5","5","2","3","5","5","5","1","4","4","2","5","2","Cyber security ","45","4 years","Stay positive",4
"32","180","2","5","4","3","5","5","5","5","5","6","5","6","5","3","3","2","5","5","6","5","5","5","6","5","5","5","4","4","6","6","2","5","6","5","5","5","Psychologist","40","6 years",NA,4
"38","276","3","6","6","4","5","4","6","5","6","3","6","5","5","5","6","2","4","5","6","4","5","5","5","3","3","5","5","3","3","4","5","4","3","5","4","5","Executive Director","50","4 years",NA,4
"40","601","4","5","6","5","5","5","6","1","6","6","6","6","5","6","5","5","6","6","6","5","6","6","6","6","6","1","5","6","6","6","1","6","5","4","5","1","Post Closer","40-45","22 years",NA,4
"43","201","1","6","3","3","1","1","3","6","2","2","3","1","4","6","6","1","4","3","4","6","6","3","2","6","5","6","1","6","1","1","6","4","6","1","2","1","Internal wholsaler","50","1.7 years ",NA,4
"49","261","3","5","5","2","3","2","4","4","4","5","4","4","4","4","4","2","4","4","5","3","4","4","5","4","4","5","2","1","4","3","3","3","3","2","3","2","System Administrator","40","2 yr","I want more time to re-energize during the day. Even if that means laying down on resting. Being at work does not allow this and it is currently socially unacceptable but I feel after a rest I am more productive and focused on work. ",4
"53","173","6","3","4","1","3","2","4","3","5","3","4","5","6","4","4","1","4","4","6","3","4","4","4","3","3","5","2","4","5","4","4","4","3","6","4","6","Survey Data Analyst","45","1.5 years","Things were markedly differently before WFH",4
"60","445","3","5","4","4","5","4","4","4","5","5","5","4","4","4","5","5","5","5","5","5","5","5","5","5","6","4","6","5","3","5","5","5","5","3","6","3","Waitress","20","3.5 years",NA,4
"66","478","2","5","4","2","4","2","4","5","4","4","5","4","3","2","5","4","4","6","6","5","6","5","4","3","5","5","3","2","1","1","6","2","3","2","4","2","Recruiter","40","5 months","5 months",4
"68","15354","2","6","6","3","6","3","6","5","5","2","6","4","6","6","6","5","6","6","6","5","6","6","5","5","6","3","5","5","2","4","3","3","5","4","3","3","Recruiting Coordinator","40 ","7",NA,4
"73","180","5","3","6","4","5","6","5","2","6","5","6","5",NA,"3","5","3","5","6","6","4","6","6","6","5","4","2","5","5","6","6","2","6","3","2","5","1","Learning & Development Associate","15","6 months ",NA,4
"74","156","4","5","6","2","5","4","5","4","6","4","6","4","2","3","6","2","2","5","5","6","6","6","6","4","3","3","4","3","4","5","3","2","2","3","3","4","partner","50","1 year",NA,4
"81","331","3","6","4","6","6","6","5","5","5","3","6","6","1","5","6","3","5","6","6","6","5","6","6","6","6","3","6","6","1","6","6","6","3","6","1","6","NURSE PRACTITIONER ","30","1 month","0",4
"85","379","5","4","5","4","5","4","5","3","3","4","5","5","5","3","4","4","3","5","6","6","6","4","5","5","5","2","4","5","2","2","4","5","5","4","5","3","Massage Therapist","32","1.5 years","Some of these questions don't apply very well to many jobs. For instance, in most jobs I have been in, we just don't think in terms of ""projects"", and contributions to the success of the organization are purely in the form of help for the clients. ",4
"88","251","3","4","6","4","5","5","5","2","6","5","6","6","5","5","3","3","5","6","6","4","5","6","6","6","3","1","2","5","5","5","3","5","3","3","6","5","Director, Global Prescribing Information Management","48","7 years","N/A",4
"91","256","4","5","5","5","6","5","6","2","6","6","6","6","6",NA,"4","4","6","5","6","5","5","5","6","6","2","3","3","5","4","3","1","5","5","5","5","5","Key Holder at Volcom","15-20","5 months",NA,4
"95","263","3","4","4","3","5","4","4","5","6","4","6","5","5","3","4","4","6","5","5","3","5","5","6","6","4","4","4","4","4","5","3","4","3","5","3","6","Director","50","4 years",NA,4
"102","424","4","4","6","4","5","6","6","2","5","6","6","6","4","5","6","3","4","5","6","2","6","6","5","5","5","3","6","4","5","5","3","6","3","6","5","4","Parental Leave Specialist ","45","2.5 years ","If I were answering these questions 2 months ago before I switched roles within my organization, my answers would have been much different. I transitioned from a sales role to corporate and am so much happier now. I believe you must be passionate about your day to day tasks in order to stay motivated throughout the workday. I also strongly believe that you must “know where you stand” with your leadership and feel supported in order to be fully engaged throughout the day and make steps toward future career goals. I believe passion, purpose, and strong leadership make for a happy and healthy employee, physically, mentally and financially. ",4
"107","463","2","5","4","4","4","5","4","5","5","5","5","4","5","2","6","4","6","5","6","5","6","5","4","3","5","2","4","5","1","2","5","5","4","3","4","3","Forklift Driver","40","2 years","N/A",4
"109","320","4","4","6","4","5","5","6","3","6","5","6","5","6","6","6","3","5","6","6","5","5","4","6","4","5","2","3","4","4","5","3","4","4","4","4","5","Designer","41","2 years ",NA,4
"112","280","2","5","5","3","4","4","5","5","5","2","5","5","5","2","4","5","5","6","5","5","5","5","5","5","5","5","4","5","5","5","3","5","4","6","5","6","Deli manager ","50","12 years","None",4
"118","288","2","4","4","3","6","2","5","6","5","5","5","6","6","6","5","3","6","5","6","5",NA,"4","4","1","5","6","2","2","5","2","3","5","5","6","5","6","Certified veterinary technician","42","7 years",NA,4
"119","554","2","4","5","4","4","5","4","5","4","3","5","3","4","3","5","3","5","4","5","4","4","5","5","5","5","4","5","5","4","4","4","4","4","5","5","4","International Account Representative","48","8 months",NA,4
"123","275","5","3","6","4","5","5","6","2","5","5","5","5","4","2","5","3","5","5","6","3","5","5","6","5","4","2","4","5","6","5","2","4","4","5","5","4",NA,NA,NA,NA,4
"126","304","5","3","4","4","5","5","6","3","4","5","5","6","5","4","2","3","5","5","4","4","6","6","4","4","3","2","3","5","1","5","3","5","5","5","4","5","Research assistant / teaching assistant ","20-30","3 years ","The anchors sometimes get weird to interpret difference between slightly agree to agree. Might think of using a frequency scale. Especially if it’s general attitudes. ",4
"131","438","5","2","5","6","5","6","5","3","5","4","5","5","4","4","5","3","4","6","6","3","6","4","5","4","5","2","4","5","4","4","2","4","3","5","5","5","Assistant Professor","40","10 years","no",4
"133","305","1","5","4","4","4","4","4","4","4","5","5","4","5","2","5","2","4","4","6","2","4","4","4","4","2","5","4","2","4","5","5","4","2","2","5","2","Talent acquisition coordinator ","15","4 months ",NA,4
"136","216","4","2","5","5","5","5","4","2","4","5","5","5","5","3","5","3","5","5","5","4","5","6","5","2","5","2","4","5","4","2","1","2","5","2","5","2","Instructor","20","15 years","none",4
"142","396","4","4",NA,"5","4","3","5","4","4","3","4","5","5","1","5","5","5","4","5","5","5","5","6","4","4","3","2","4","5","1","3","4","5","5","4","5","Full professor","25","33 years ","No",4
"147","635","4","3","5","4","4","4","4","5","4","2","5","5","4","5","5","3","5","5","5","5","5","5","5","1","5","4","3","3","5","3","5","2","3","3","5","2","Itinerant Teacher of the Deaf or Hard of Hearing","37.5","30 years","There was a time when seniority was valued. Within my department it is not. The organization as a whole functions well for its size. There are many logistical challenges and data driven goals that have become more important than relationships with kids. I will always enjoy helping young people discover the joys of learning, regardless of what the data miners think is important. ",4
"150","470","5","4","6","5","5",NA,"6","2","5",NA,"6","6","6","6","5","5","5","6","6","5","5","6","6","6","5","2","3","6","5","5","2","5","5","4","6","4","University Software Analyst","35","23 years","Whichever career path uou you choose it should be stimulating and make you happy. If your kob conjures negative emotions you should consider a career change. ",4
"152","509","1","2","2","3","6","4","5","4","5","6","5",NA,"4","2","5","2","4","5","5","6","6","5","5","2","2","3","2","5","4","4","4","3","6","2","4","1","Education Program Manager","40","2 years",NA,4
"156","245","5","4","5","4","4","5","5","4","4","5","5","4","4","3","4","4","5","4","5","5","5","5","5","3","4","4","4","4","2","2","5","5","4","4","5","4","Talent Acquisition Coordinator","15","4 months","--",4
"161","277","6","5","6","6","6","6","6","2","6","4","6","6","6","5","5","6","6","6","6","6","6","6","6","6","6","1","5","6","5","5","1","6","6","5","6","6","Computer Scientist","80","35+ years",NA,4
"165","249","2","5","5","2","2","4","5","5","5","2","5","2","5","5","5","5","5","5","5","5","5","4","5","2","5","5","2","5","2","1","6","2","1","4","4","5","Concessions Supervisor","20","6 years",NA,4
"166","26372","6","6","6","6","6","6","6","3","6","6","6","6","5","3","5","5","6","6","4","5","6","5","6","6","6",NA,NA,"5","5","5","2","5","5","3","5","3","QA specialist","40","7 years","Company train very good to perforn tasks",4
"170","118","6","6",NA,"6","6","6","6","6","6","6","6","6","6","6","6","5","6","6","6","5","6","6","6","6","5","5","6","4","6","6","4","6","6","6","6","6","Teacher ","45","1 year",NA,4
"174","453","4","3","5","4","5","3","5","3","4","3","4","5","5","5","3","2","3","4","5","5","5","5","3","3","4","3","2","5",NA,"2","2","3","2","3","4","2","Sr Social Worker","40","3 years",NA,4
"176","2230","2","5","4","3","5","3","5","5","5","5","5","4","6","5","2","2","5","5","6","5","5","5","6","5","3","5","2","2","5","5","2","5","1","5","5","5","Wholesale Customer Service manager","50","2 yrs",NA,4
"181","137","2","3","3","3","5","3","5","5","5","4","5","5","5","4","4","2","3","5","6","3","5","4","5","4","4","5","5","4","5","5","5","3","4","5","5","5","Analyst","40+","Around 1 year",NA,4
"184","274","2","5","4","4","4","3","4","3","5","4","5","5","5","2","2","3","4","5","5","5","5","5","5","5","2","4","2","2","4","4","4","5","2","4","5","4","Director of major gifts","40","3 years",NA,4
"188","325","1","6","4","1","4","1","5","6","4","5","6","3","6","4","5","2","6","2","6","2","6","5","3","3","3","6","2","2","4","1","6","2","1","3","1","3","Personal Banker (Branch customer service rep)","45","10 years","An optional line below each question to type in some explanation could add some very valuable information",4
"191","416","4","4","4","4","5","5","4","3","5","4","5","5","4","4","3","3","5","5","5","5","5","4","5","5","5","2","5","5","4","4","1","4","5","3","5","3","Buyer","45",NA,NA,4
"194","641","4","5","5","5","5","5","6","6","5","5","6","5","6","6","5","6","6","6","6","5","6","6","6","2","6","6","5","5","5","5","2","6","5","6","6","6","Purchasing manager","55 to 60 hours per week","30 years","Upper management acceptance to the fact that everything can be done it just can’t be done at once. To be a realistic would be very helpful, and still be able to achieve new goals. And there’s also a life outside of work, to maintain your health and well-being.",4
"200","491","2","4","3","2","4","2","4","3","5","4","4","5","4","4","4","3","4","5","6","4","4","6","5","6","5","4","2","3","4","6","3","6","3","4","4","4","Junior business analyst ","42","2 months",NA,4
"203","1021","2","5","4","2","4","2","5","5","5","1","5","3","5","4","6","3","5","4","5","5","5","5","2","5","4","5","5","5","6","2","5","3","5","2","5","2","Engineering Technician ","40","7 years ","I like my employer and the work but not my supervisor. ",4
"206","223","3","6","5","4","5","5","5","5","6","5","5","4","6","6","6","6","6","6","6","3","6","5","5","5","6","5","5","5","6","5","4","5","4","6","5","6","Manager","45","6 years ",NA,4
"210","249","2","6","4","4","5","4","4","2","5","4","5","5","5","2","4","3","5","5","5","5","5","5","4","5","5","2","2","4","2","4","5","5","5","1","6","1","Human Resources Administrator","35","5","None. ",4
"215","378","5","1","6","6","6","6","6","4","6","4","6","6","6","6","6","3","6","6","6","6","6","6","3","3","6","1","1","5","6","6","4","6","3","6","6","6","COO","50","2 years","I have a a small part ownership in this company, and the majority owner is rarely around and gives no input so I am really my own supervisor and boss.  ",4
"221","767","6","5","5","5","5","5","5","6","5","4","6","6","6","2","4","4","5","5","6","5","6","6","6","5","5","3","4","5","6","5","5","6","5","5","6","5","Priest","30","3 years ","Survey did not address how to handle stressors at the job.",4
"228","64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","4","3","1","2","2","4","3","4","5","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"230","418","2","4","3","3","3","3","5","4","5","5","5","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","5","5","2","3","3","5","5","4","5","4",NA,NA,NA,NA,4
"234","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","4","4","3","5","4","4","5","1","6","3","6",NA,NA,NA,NA,4
"246","248","5","4","5","3","5","4","5","4","5","6","6","6","4","3","3","2","4","5","4","3","6","6","5","4","1","3","3","3","3","6","6","5","2","4","4","4","Manager of Agency Advancement","Depends on deadlines, scheduled for 40, more is expected when needed","Nearly 4 years","Work isn't always the biggest factor in work decisions, work needs to fit into life.",4
"254","247","1","5","3","4","4","4","5","5","5","3","5","3","4","1","6","2","5","5","5","5","4","5","5","5","3","5","5","5","2","3","6","5","5","4","5","4","Industrial Designer","45","2 and a half years",NA,4
"256","351","4","5","6","4","5","4","3","6","5","5","5","6","3","3","6","4","4","4","6","3","5","4","5","5","4","4","3","5","4","4","4","4","5","6","5","6","Paramedic","50","4","First responders experience high levels of burnout, but also identify very strongly with their jobs. Makes for mixed feelings about the job. ",4
"272","102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","4","6","3","5","5","6","6","6","6","6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"275","305","5","2","6","6","6","6","6","1","6","6","6","6","6","3","5","3","6","6","6","6","5","6","6","5","5","1","4","6","5","6","1","6","2","4","6","4","Staff Accountant ","45","A year and 5 months","Great survey. Takes into consideration all aspects of job satisfaction ",4
"279","262","5","5","5","5","3","5","5","2","6","5","5","6","6","5","6","6","6","5","5","3","6","5","6","5","5","4","5","4","6","5","2","5","5","1","5","2","Respiratory therapist ","96","3 months ",NA,4
"283","299","2","4","4","4","4","5","4","3","4","4","5","4","4","2","6","3","3","5","5","4","5","3","5","5","3","2","4","5","3","4","2","4","4","3","5","2","Editor","48","Since March 2020",NA,4
"285","242","4","3","5","5","5","5","4","4","5","3","6","5","6","4","6","5","6","6","6","5","6","5","5","3","5","2","3","5","5","5","2","5","6","6","6","5",NA,NA,NA,NA,4
